@relation recipes

@attribute recipe_id string
@attribute agar-agar numeric
@attribute ale numeric
@attribute allspice numeric
@attribute almond numeric
@attribute anchovy numeric
@attribute apple numeric
@attribute apricot numeric
@attribute asparagus numeric
@attribute aubergine numeric
@attribute avocado numeric
@attribute bacon numeric
@attribute baking_powder numeric
@attribute balsamic_vinegar numeric
@attribute banana numeric
@attribute basil numeric
@attribute basmati_rice numeric
@attribute bay_leaf numeric
@attribute bean numeric
@attribute bechamel_sauce numeric
@attribute beef numeric
@attribute beef_braising_steak numeric
@attribute beef_fillet numeric
@attribute beef_stock numeric
@attribute beetroot numeric
@attribute berry numeric
@attribute black_pepper numeric
@attribute black_pudding numeric
@attribute blackcurrant numeric
@attribute blood_orange numeric
@attribute bouquet_garni numeric
@attribute bramley_apple numeric
@attribute brandy numeric
@attribute bread numeric
@attribute breadcrumbs numeric
@attribute broccoli numeric
@attribute brown_sauce numeric
@attribute brown_sugar numeric
@attribute bun numeric
@attribute butter numeric
@attribute butter_bean numeric
@attribute buttermilk numeric
@attribute camembert_cheese numeric
@attribute cannellini_beans numeric
@attribute capers numeric
@attribute cardamom numeric
@attribute carrot numeric
@attribute cashew numeric
@attribute caster_sugar numeric
@attribute celeriac numeric
@attribute celery numeric
@attribute cheddar_cheese numeric
@attribute cheese numeric
@attribute cherry_tomatoes numeric
@attribute chervil numeric
@attribute chestnut numeric
@attribute chicken numeric
@attribute chicken_breast numeric
@attribute chicken_leg numeric
@attribute chicken_stock numeric
@attribute chicken_wing numeric
@attribute chickpea numeric
@attribute chilli numeric
@attribute chilli_oil numeric
@attribute chilli_sauce numeric
@attribute chives numeric
@attribute chocolate numeric
@attribute chopped_tomatoes numeric
@attribute chorizo numeric
@attribute ciabatta numeric
@attribute cider numeric
@attribute cinnamon numeric
@attribute clams numeric
@attribute cloves numeric
@attribute cocoa numeric
@attribute coconut numeric
@attribute coffee numeric
@attribute coffee_beans numeric
@attribute compote numeric
@attribute coriander numeric
@attribute coriander_fresh numeric
@attribute coriander_seeds numeric
@attribute cornflour numeric
@attribute courgette numeric
@attribute couscous numeric
@attribute crayfish numeric
@attribute cream numeric
@attribute cream_of_tartar numeric
@attribute creme_fraiche numeric
@attribute cress numeric
@attribute cucumber numeric
@attribute cumin numeric
@attribute custard numeric
@attribute dandelion numeric
@attribute dark_chocolate numeric
@attribute demerara_sugar numeric
@attribute digestive_biscuit numeric
@attribute dijon_mustard numeric
@attribute dill numeric
@attribute dim_sum_wrappers numeric
@attribute double_cream numeric
@attribute dried_chilli numeric
@attribute duck numeric
@attribute duck_fat numeric
@attribute egg numeric
@attribute egg_wash numeric
@attribute egg_white numeric
@attribute egg_yolk numeric
@attribute english_mustard numeric
@attribute fennel numeric
@attribute fennel_seeds numeric
@attribute feta_cheese numeric
@attribute field_mushroom numeric
@attribute fig numeric
@attribute flaked_almonds numeric
@attribute flour numeric
@attribute floury_potato numeric
@attribute fondant_icing numeric
@attribute fruit numeric
@attribute garam_masala numeric
@attribute garlic numeric
@attribute gelatine numeric
@attribute gherkin numeric
@attribute gin numeric
@attribute ginger numeric
@attribute ginger_ground numeric
@attribute glucose numeric
@attribute goats_cheese numeric
@attribute grain numeric
@attribute green_bean numeric
@attribute green_cabbage numeric
@attribute grey_mullet numeric
@attribute ham numeric
@attribute hazelnut numeric
@attribute herb numeric
@attribute honey numeric
@attribute horseradish numeric
@attribute ice_cream numeric
@attribute icing_sugar numeric
@attribute irish_stout numeric
@attribute jerusalem_artichoke numeric
@attribute juniper_berries numeric
@attribute kidney numeric
@attribute king_edward_potato numeric
@attribute kirsch numeric
@attribute kiwi_fruit numeric
@attribute lamb numeric
@attribute lamb_chop numeric
@attribute lamb_leg numeric
@attribute lamb_loin numeric
@attribute langoustine numeric
@attribute leek numeric
@attribute lemon numeric
@attribute lemon_juice numeric
@attribute lettuce numeric
@attribute lime numeric
@attribute lime_juice numeric
@attribute lobster numeric
@attribute mace numeric
@attribute mackerel numeric
@attribute mango numeric
@attribute maple_syrup numeric
@attribute mascarpone_cheese numeric
@attribute mayonnaise numeric
@attribute milk numeric
@attribute mint numeric
@attribute monkfish numeric
@attribute mozzarella_cheese numeric
@attribute mushroom numeric
@attribute mussel numeric
@attribute mustard_cress numeric
@attribute naan_bread numeric
@attribute new_potatoes numeric
@attribute nutmeg numeric
@attribute oil numeric
@attribute olive numeric
@attribute olive_oil numeric
@attribute onion numeric
@attribute orange numeric
@attribute orange_juice numeric
@attribute oregano numeric
@attribute oyster_mushroom numeric
@attribute pancetta numeric
@attribute paprika numeric
@attribute parsley numeric
@attribute parsnip numeric
@attribute passata numeric
@attribute pasta numeric
@attribute pea numeric
@attribute pea_shoots numeric
@attribute peach numeric
@attribute pepper numeric
@attribute peppercorn numeric
@attribute pine_nut numeric
@attribute pineapple numeric
@attribute pistachio numeric
@attribute plain_flour numeric
@attribute plum numeric
@attribute polenta numeric
@attribute pollack numeric
@attribute pomegranate numeric
@attribute pork numeric
@attribute pork_mince numeric
@attribute pork_sausages numeric
@attribute pork_shoulder numeric
@attribute potato numeric
@attribute prawn numeric
@attribute prosciutto numeric
@attribute puff_pastry numeric
@attribute puy_lentils numeric
@attribute rapeseed_oil numeric
@attribute raspberry numeric
@attribute red_onion numeric
@attribute red_wine numeric
@attribute redcurrant numeric
@attribute redcurrant_jelly numeric
@attribute rhubarb numeric
@attribute rice_flour numeric
@attribute rice_noodle numeric
@attribute rice_vinegar numeric
@attribute rocket numeric
@attribute rosemary numeric
@attribute rum numeric
@attribute rump numeric
@attribute rye_bread numeric
@attribute sage numeric
@attribute salad numeric
@attribute salad_leaves numeric
@attribute salmon numeric
@attribute salt numeric
@attribute sardine numeric
@attribute sausage numeric
@attribute savoy_cabbage numeric
@attribute scallop numeric
@attribute sea_bass numeric
@attribute sea_salt numeric
@attribute self-raising_flour numeric
@attribute semolina numeric
@attribute sesame_oil numeric
@attribute sesame_seeds numeric
@attribute shallot numeric
@attribute shiitake_mushroom numeric
@attribute shortbread numeric
@attribute shrimp numeric
@attribute single_cream numeric
@attribute smoked_salmon numeric
@attribute snapper numeric
@attribute soured_cream numeric
@attribute soy_sauce numeric
@attribute spice numeric
@attribute spinach numeric
@attribute split_peas numeric
@attribute spring_onion numeric
@attribute spring_roll_wrappers numeric
@attribute squid numeric
@attribute star_anise numeric
@attribute stilton_cheese numeric
@attribute stock numeric
@attribute strong_white_flour numeric
@attribute suet numeric
@attribute sugar numeric
@attribute sultanas numeric
@attribute sunflower_oil numeric
@attribute swede numeric
@attribute sweetcorn numeric
@attribute swiss_roll numeric
@attribute swordfish numeric
@attribute syrup numeric
@attribute tapioca numeric
@attribute tarragon numeric
@attribute thyme numeric
@attribute toffee numeric
@attribute tomato numeric
@attribute tomato_puree numeric
@attribute trout numeric
@attribute truffle numeric
@attribute turmeric numeric
@attribute vanilla_extract numeric
@attribute vanilla_pod numeric
@attribute vegetable_oil numeric
@attribute vegetable_stock numeric
@attribute vermouth numeric
@attribute vinegar numeric
@attribute vodka numeric
@attribute walnut numeric
@attribute walnut_oil numeric
@attribute wasabi numeric
@attribute watercress numeric
@attribute whipping_cream numeric
@attribute white_bread numeric
@attribute white_pepper numeric
@attribute white_wine numeric
@attribute white_wine_vinegar numeric
@attribute whiting numeric
@attribute wholegrain_mustard numeric
@attribute wild_duck numeric
@attribute worcestershire_sauce numeric
@attribute yeast numeric
@attribute yoghurt numeric
@attribute zest numeric

@data
warmpotatosaladwithc_76965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cottagepiesinbakedpo_78049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sweetpotatomashwithw_8823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salted_pollack_with_a_41672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chorizoflatbreads_75675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vanillaorangeandmapl_88060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rum_babas_48556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
jerusalemartichokest_83692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chickensoup_80463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
warmpotatomustardand_80303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
